method_name,degradation_type,severity,parameter,parameter_value,num_samples,top1_accuracy,top5_accuracy,overall_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,inference_time_seconds,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop
sift_bovw_svm,gaussian_noise,4,sigma,0.08,5000,0.0268,0.0816,0.0268,0.0268,0.018714545351894898,0.0268,0.01972041059087724,170.67174712501583,0.0318,0.025116982298457366,0.005000000000000001,0.005396571707580126
sift_bovw_svm,gaussian_noise,5,sigma,0.1,5000,0.0266,0.0814,0.0266,0.026600000000000002,0.021695741572740634,0.026600000000000002,0.020789849375348068,178.87011124999844,0.0318,0.025116982298457366,0.005200000000000003,0.004327132923109298
hog_random_forest,jpeg_compression,1,quality,80.0,5000,0.0128,0.049,0.0128,0.0128,0.009850847545926507,0.0128,0.007856626215253277,33.67607270900044,0.0132,0.008393324228811136,0.0003999999999999993,0.0005366980135578583
hog_random_forest,jpeg_compression,2,quality,60.0,5000,0.0114,0.0468,0.0114,0.0114,0.00708123703629616,0.0114,0.006723286892027835,32.34012991600321,0.0132,0.008393324228811136,0.0017999999999999995,0.001670037336783301
hog_random_forest,jpeg_compression,3,quality,40.0,5000,0.0138,0.0488,0.0138,0.013800000000000002,0.009206020151721199,0.013800000000000002,0.007906326747711896,31.357411167002283,0.0132,0.008393324228811136,-0.0005999999999999998,0.00048699748109923974
hog_random_forest,jpeg_compression,4,quality,25.0,5000,0.012,0.0482,0.012,0.012000000000000002,0.009044871875263762,0.012000000000000002,0.007399403436991238,30.682615041005192,0.0132,0.008393324228811136,0.0011999999999999997,0.0009939207918198975
hog_random_forest,jpeg_compression,5,quality,10.0,5000,0.0116,0.042,0.0116,0.011600000000000001,0.008158264522183972,0.011600000000000001,0.006656145949274364,30.60225020899088,0.0132,0.008393324228811136,0.0016000000000000007,0.001737178279536772
resnet18_pretrained_finetuned,jpeg_compression,1,quality,80.0,5000,0.6544,0.852,0.6544,0.6544,0.6765505948557806,0.6544,0.6536302660848337,72.98912591600674,0.6624,0.6620301298160315,0.008000000000000007,0.008399863731197832
resnet18_pretrained_finetuned,jpeg_compression,2,quality,60.0,5000,0.6518,0.8484,0.6518,0.6517999999999999,0.6752222304120102,0.6517999999999999,0.6513743779495005,50.492677832982736,0.6624,0.6620301298160315,0.010599999999999943,0.010655751866531005
resnet18_pretrained_finetuned,jpeg_compression,3,quality,40.0,5000,0.638,0.8414,0.638,0.638,0.6671617551007644,0.638,0.6392102888772259,41.18949150000117,0.6624,0.6620301298160315,0.024399999999999977,0.022819840938805624
resnet18_pretrained_finetuned,jpeg_compression,4,quality,25.0,5000,0.6184,0.827,0.6184,0.6184,0.6558645136768976,0.6184,0.6200266786312163,38.96370362499147,0.6624,0.6620301298160315,0.04400000000000004,0.04200345118481519
resnet18_pretrained_finetuned,jpeg_compression,5,quality,10.0,5000,0.5012,0.7396,0.5012,0.5012000000000001,0.5851069909202288,0.5012000000000001,0.5075241469565848,36.63358216598863,0.6624,0.6620301298160315,0.1612,0.15450598285944672
resnet18_scratch_basic_aug_sgd,jpeg_compression,1,quality,80.0,5000,0.3656,0.6054,0.3656,0.3656,0.3840634488490526,0.3656,0.36212903590190637,33.72275504199206,0.3794,0.37511498506033875,0.013800000000000034,0.012985949158432375
resnet18_scratch_basic_aug_sgd,jpeg_compression,2,quality,60.0,5000,0.3656,0.6036,0.3656,0.3656,0.38593370104801195,0.3656,0.3622828118065511,33.31207662500674,0.3794,0.37511498506033875,0.013800000000000034,0.01283217325378766
resnet18_scratch_basic_aug_sgd,jpeg_compression,3,quality,40.0,5000,0.3576,0.5946,0.3576,0.3576,0.3800754182607898,0.3576,0.35468960089974727,32.73915758301155,0.3794,0.37511498506033875,0.02180000000000004,0.020425384160591475
resnet18_scratch_basic_aug_sgd,jpeg_compression,4,quality,25.0,5000,0.3444,0.5824,0.3444,0.3444,0.36677270441829746,0.3444,0.33987379882569757,32.30901608400745,0.3794,0.37511498506033875,0.03500000000000003,0.035241186234641175
resnet18_scratch_basic_aug_sgd,jpeg_compression,5,quality,10.0,5000,0.2798,0.5012,0.2798,0.2798,0.31831547411380834,0.2798,0.27587919947039347,32.489457292016596,0.3794,0.37511498506033875,0.09960000000000002,0.09923578558994528
sift_bovw_svm,jpeg_compression,1,quality,80.0,5000,0.0292,0.0826,0.0292,0.029200000000000004,0.02112815883877384,0.029200000000000004,0.0225684293446474,127.29444450000301,0.0318,0.025116982298457366,0.0026000000000000016,0.0025485529538099676
sift_bovw_svm,jpeg_compression,2,quality,60.0,5000,0.0314,0.0836,0.0314,0.0314,0.02186185537943499,0.0314,0.023903728202274627,137.16330708298483,0.0318,0.025116982298457366,0.0004000000000000045,0.0012132540961827393
sift_bovw_svm,jpeg_compression,3,quality,40.0,5000,0.03,0.0904,0.03,0.03,0.022115307862572986,0.03,0.02344231494980801,138.3685321249941,0.0318,0.025116982298457366,0.001800000000000003,0.0016746673486493571
sift_bovw_svm,jpeg_compression,4,quality,25.0,5000,0.032,0.083,0.032,0.032,0.02194006533619426,0.032,0.023565157821955566,135.1882521249936,0.0318,0.025116982298457366,-0.0001999999999999988,0.0015518244765018
sift_bovw_svm,jpeg_compression,5,quality,10.0,5000,0.0288,0.0792,0.0288,0.0288,0.020336208922957667,0.0288,0.021932139078079938,117.83299095800612,0.0318,0.025116982298457366,0.0030000000000000027,0.003184843220377428
